,,,,,,,,,,,,,,,,,,,
순번,대학(원),학과(부),학년,이수구분,이수영역,학수번호,교과목명,교과목명(영문),담당교수,강의실,시간표(교시),시간표(시간),교시유형,학점,수업구분,수업유형,성적평가,집중이수제,원어강의구분
590,공과대학,기계공학과,4,전공심화,전공심화,EA06029001,기계설계,Mechanical Engineering Design,우창기,제8호관 공과대학·도시과학대학-416 강의실(소)-5[08-416]," [08-416:화(7-8A),수(7-8A)]"," [08-416:화(15:00~16:15),수(15:00~16:15)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
591,공과대학,기계공학과,4,전공심화,전공심화,EA06029002,기계설계,Mechanical Engineering Design,우창기,"제8호관 공과대학·도시과학대학-272 강의실[08-272], 제8호관 공과대학·도시과학대학-416 강의실(소)-5[08-416]", [08-272:수(5B-6)] [08-416:화(8B-9)], [08-272:수(13:30~14:45)] [08-416:화(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
592,공과대학,전기공학과,전학년,전공심화,전공심화,0009062026,RISE,RISE,김준동,,,,50분(표준),3,일반과목,RISE(시간표 없음),이수인정,일반(1~15주),비대상
593,공과대학,전기공학과,1,기초교양,학문의기초,XAA1358005,대학수학(1),CALCULUS(1),이혜경,제8호관 공과대학·도시과학대학-438 강의실[08-438], [08-438:목(2)(3)(4)], [08-438:목(10:00~10:50)(11:00~11:50)(12:00~12:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
594,공과대학,전기공학과,1,기초교양,학문의기초,XAA1358006,대학수학(1),CALCULUS(1),김흥숙,제8호관 공과대학·도시과학대학-416 강의실(소)-5[08-416], [08-416:목(2)(3)(4)], [08-416:목(10:00~10:50)(11:00~11:50)(12:00~12:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
595,공과대학,전기공학과,1,전공핵심,전공핵심,EP01004001,컴퓨터프로그래밍,COMPUTER PROGRAMMING,서재완,제8호관 공과대학·도시과학대학-213 디지털실험실[08-213]," [08-213:화(2B-3),수(2B-3)]"," [08-213:화(10:30~11:45),수(10:30~11:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
596,공과대학,전기공학과,1,전공핵심,전공핵심,EP01004002,컴퓨터프로그래밍,COMPUTER PROGRAMMING,강동우,제8호관 공과대학·도시과학대학-213 디지털실험실[08-213]," [08-213:월(7-8A),화(4-5A)]"," [08-213:월(15:00~16:15),화(12:00~13:15)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
597,공과대학,전기공학과,2,전공기초,전공기초,0006742001,공학수학(1),ENGINEERING  MATHEMATICS(1),안덕주,"제8호관 공과대학·도시과학대학-101 기계제도실[08-101], 제8호관 공과대학·도시과학대학-386 강의실(중)-1[08-386]", [08-101:월(2B-3)] [08-386:금(2B-3)], [08-101:월(10:30~11:45)] [08-386:금(10:30~11:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
598,공과대학,전기공학과,2,전공기초,전공기초,0006742002,공학수학(1),ENGINEERING  MATHEMATICS(1),안덕주,제8호관 공과대학·도시과학대학-386 강의실(중)-1[08-386]," [08-386:화(2B-3),금(5B-6)]"," [08-386:화(10:30~11:45),금(13:30~14:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
599,공과대학,전기공학과,2,전공기초,전공기초,EPB6068001,전기.전자기초실험,ELECTRIC AND ELECTRONIC  BASIC EXPERIMENT,김준석,제8호관 공과대학·도시과학대학-224 전기설계실험실[08-224], [08-224:목(2)(3)], [08-224:목(10:00~10:50)(11:00~11:50)],50분(표준),1,일반과목,실험실습,절대평가,일반(1~15주),비대상
600,공과대학,전기공학과,2,전공기초,전공기초,EPB6068002,전기.전자기초실험,ELECTRIC AND ELECTRONIC  BASIC EXPERIMENT,김준석,제8호관 공과대학·도시과학대학-224 전기설계실험실[08-224], [08-224:목(4)(5)], [08-224:목(12:00~12:50)(13:00~13:50)],50분(표준),1,일반과목,실험실습,절대평가,일반(1~15주),비대상
601,공과대학,전기공학과,2,전공기초,전공기초,EPB6068003,전기.전자기초실험,ELECTRIC AND ELECTRONIC  BASIC EXPERIMENT,김용하,제8호관 공과대학·도시과학대학-224 전기설계실험실[08-224], [08-224:목(6)(7)], [08-224:목(14:00~14:50)(15:00~15:50)],50분(표준),1,일반과목,실험실습,절대평가,일반(1~15주),비대상
602,공과대학,전기공학과,2,전공기초,전공기초,EPB6068004,전기.전자기초실험,ELECTRIC AND ELECTRONIC  BASIC EXPERIMENT,김용하,제8호관 공과대학·도시과학대학-224 전기설계실험실[08-224], [08-224:목(8)(9)], [08-224:목(16:00~16:50)(17:00~17:50)],50분(표준),1,일반과목,실험실습,절대평가,일반(1~15주),비대상
603,공과대학,전기공학과,2,전공핵심,전공핵심,EPB6001001,전자기학(1),ELECTRO MAGNETICS(1),이우찬,"제8호관 공과대학·도시과학대학-322 강의실(중)-3[08-322], 제8호관 공과대학·도시과학대학-386 강의실(중)-1[08-386]", [08-322:월(4-5A)] [08-386:화(7-8A)], [08-322:월(12:00~13:15)] [08-386:화(15:00~16:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
604,공과대학,전기공학과,2,전공핵심,전공핵심,EPB6001002,전자기학(1),ELECTRO MAGNETICS(1),이우찬,제8호관 공과대학·도시과학대학-322 강의실(중)-3[08-322]," [08-322:화(4-5A),수(8B-9)]"," [08-322:화(12:00~13:15),수(16:30~17:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
605,공과대학,전기공학과,2,전공핵심,전공핵심,EPB6002001,회로이론(1),CIRCUIT THEORY(1),정영식,제8호관 공과대학·도시과학대학-438 강의실[08-438], [08-438:수(1-2A)(2B-3)], [08-438:수(09:00~10:15)(10:30~11:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
606,공과대학,전기공학과,2,전공핵심,전공핵심,EPB6002002,회로이론(1),CIRCUIT THEORY(1),정영식,제8호관 공과대학·도시과학대학-438 강의실[08-438], [08-438:수(5B-6)(7-8A)], [08-438:수(13:30~14:45)(15:00~16:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
607,공과대학,전기공학과,2,전공심화,전공심화,0002687001,디지털공학개론,Digital Engineering,최현규,"제8호관 공과대학·도시과학대학-101 기계제도실[08-101], 제8호관 공과대학·도시과학대학-386 강의실(중)-1[08-386]", [08-101:화(1-2A)] [08-386:월(8B-9)], [08-101:화(09:00~10:15)] [08-386:월(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
608,공과대학,전기공학과,2,전공심화,전공심화,0006696001,기초반도체공학,INTRODUCTION TO SEMICONDUCTOR DEVICES AND ENGINEERING,MORE VIVEK MOHAN,제8호관 공과대학·도시과학대학-386 강의실(중)-1[08-386], [08-386:금(7-8A)(8B-9)], [08-386:금(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),절대평가,일반(1~15주),원어강의(EN)
609,공과대학,전기공학과,2,전공심화,전공심화,0010077001,응용선형대수,Applied Linear Algebra,이동길,"제8호관 공과대학·도시과학대학-101 기계제도실[08-101], 제8호관 공과대학·도시과학대학-386 강의실(중)-1[08-386]", [08-101:월(1-2A)] [08-386:금(1-2A)], [08-101:월(09:00~10:15)] [08-386:금(09:00~10:15)],75분,3,일반과목,온라인혼합형강좌,상대평가,일반(1~15주),비대상
610,공과대학,전기공학과,2,전공심화,전공심화,0010456001,전기에너지와이노베이션,Electric Energy and Innovation,김학만,제8호관 공과대학·도시과학대학-386 강의실(중)-1[08-386]," [08-386:화(5B-6),수(4-5A)]"," [08-386:화(13:30~14:45),수(12:00~13:15)]",75분,3,일반과목,온라인혼합형강좌,상대평가,일반(1~15주),비대상
611,공과대학,전기공학과,3,전공기초,전공기초,EK06058001,전기실험(2),ELECTRIC EXPERIMENT(2),윤주형,제8호관 공과대학·도시과학대학-224 전기설계실험실[08-224], [08-224:화(2)(3)], [08-224:화(10:00~10:50)(11:00~11:50)],50분(표준),1,일반과목,실험실습,절대평가,일반(1~15주),비대상
612,공과대학,전기공학과,3,전공기초,전공기초,EK06058002,전기실험(2),ELECTRIC EXPERIMENT(2),윤주형,제8호관 공과대학·도시과학대학-224 전기설계실험실[08-224], [08-224:화(4)(5)], [08-224:화(12:00~12:50)(13:00~13:50)],50분(표준),1,일반과목,실험실습,절대평가,일반(1~15주),비대상
613,공과대학,전기공학과,3,전공기초,전공기초,EK06058003,전기실험(2),ELECTRIC EXPERIMENT(2),우정민,제8호관 공과대학·도시과학대학-224 전기설계실험실[08-224], [08-224:금(2)(3)], [08-224:금(10:00~10:50)(11:00~11:50)],50분(표준),1,일반과목,실험실습,절대평가,일반(1~15주),비대상
614,공과대학,전기공학과,3,전공기초,전공기초,EK06058004,전기실험(2),ELECTRIC EXPERIMENT(2),우정민,제8호관 공과대학·도시과학대학-224 전기설계실험실[08-224], [08-224:금(4)(5)], [08-224:금(12:00~12:50)(13:00~13:50)],50분(표준),1,일반과목,실험실습,절대평가,일반(1~15주),비대상
615,공과대학,전기공학과,3,전공핵심,전공핵심,0004216001,전기물성론,Electrical Materials Science and Engineering,김준동,제8호관 공과대학·도시과학대학-515 세미나실(대)[08-515]," [08-515:월(7)(8),화(1)]"," [08-515:월(15:00~15:50)(16:00~16:50),화(09:00~09:50)]",50분(표준),3,일반과목,온라인혼합형강좌,절대평가,일반(1~15주),원어강의(EN)
616,공과대학,전기공학과,3,전공핵심,전공핵심,0006706001,전기기기(1),ELECTRIC MACHINERY(1),허진,제8호관 공과대학·도시과학대학-322 강의실(중)-3[08-322]," [08-322:월(2B-3),수(1-2A)]"," [08-322:월(10:30~11:45),수(09:00~10:15)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
617,공과대학,전기공학과,3,전공핵심,전공핵심,0006706002,전기기기(1),ELECTRIC MACHINERY(1),강동우,"제8호관 공과대학·도시과학대학-101 기계제도실[08-101], 제8호관 공과대학·도시과학대학-438 강의실[08-438]", [08-101:수(2B-3)] [08-438:월(4-5A)], [08-101:수(10:30~11:45)] [08-438:월(12:00~13:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
618,공과대학,전기공학과,3,전공핵심,전공핵심,EPB6023001,전력전자공학,POWER ELECTRONICS,윤한신,"제8호관 공과대학·도시과학대학-322 강의실(중)-3[08-322], 제8호관 공과대학·도시과학대학-386 강의실(중)-1[08-386]", [08-322:목(5B-6)] [08-386:수(5B-6)], [08-322:목(13:30~14:45)] [08-386:수(13:30~14:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
619,공과대학,전기공학과,3,전공핵심,전공핵심,EPB6023002,전력전자공학,POWER ELECTRONICS,최현규,제8호관 공과대학·도시과학대학-438 강의실[08-438]," [08-438:월(5B-6),수(4-5A)]"," [08-438:월(13:30~14:45),수(12:00~13:15)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
620,공과대학,전기공학과,3,전공심화,전공심화,0006705001,에너지발생 및 운용,ENERGY GENERATION AND MANAGEMENT,김용하,제8호관 공과대학·도시과학대학-322 강의실(중)-3[08-322], [08-322:목(2B-3)(4-5A)], [08-322:목(10:30~11:45)(12:00~13:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
621,공과대학,전기공학과,3,전공심화,전공심화,0008868001,인공지능개론,Introduction to Artificial Intelligence,이명훈,"제8호관 공과대학·도시과학대학-322 강의실(중)-3[08-322], 제8호관 공과대학·도시과학대학-386 강의실(중)-1[08-386]", [08-322:목(1-2A)] [08-386:수(7-8A)], [08-322:목(09:00~10:15)] [08-386:수(15:00~16:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
622,공과대학,전기공학과,3,전공심화,전공심화,EPB6016001,전기응용,ELECTRIC APPLICATION,우정민,"제8호관 공과대학·도시과학대학-101 기계제도실[08-101], 제8호관 공과대학·도시과학대학-438 강의실[08-438]", [08-101:목(9)] [08-438:화(6)(7)], [08-101:목(17:00~17:50)] [08-438:화(14:00~14:50)(15:00~15:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
623,공과대학,전기공학과,3,전공심화,전공심화,EPB6028001,신호및시스템,SIGNAL AND SYSTEMS,이명훈,"제8호관 공과대학·도시과학대학-386 강의실(중)-1[08-386], 제8호관 공과대학·도시과학대학-438 강의실[08-438]", [08-386:목(7-8A)] [08-438:수(8B-9)], [08-386:목(15:00~16:15)] [08-438:수(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
624,공과대학,전기공학과,4,전공심화,전공심화,0002800001,신재생에너지공학,Renewable Energy Engineering,김학만,"제8호관 공과대학·도시과학대학-272 강의실[08-272], 제8호관 공과대학·도시과학대학-416 강의실(소)-5[08-416]", [08-272:화(7-8A)] [08-416:수(1-2A)], [08-272:화(15:00~16:15)] [08-416:수(09:00~10:15)],75분,3,일반과목,온라인혼합형강좌,상대평가,일반(1~15주),비대상
625,공과대학,전기공학과,4,전공심화,전공심화,0006687001,캡스톤설계(1),CAPSTON DESIGN(1),김준석,제8호관 공과대학·도시과학대학-211 기초전기실험실[08-211], [08-211:목(6)(7)(8)(9)], [08-211:목(14:00~14:50)(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,실험실습,절대평가,일반(1~15주),비대상
626,공과대학,전기공학과,4,전공심화,전공심화,0006687002,캡스톤설계(1),CAPSTON DESIGN(1),이동길,제8호관 공과대학·도시과학대학-213 디지털실험실[08-213], [08-213:목(6)(7)(8)(9)], [08-213:목(14:00~14:50)(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,실험실습,절대평가,일반(1~15주),비대상
627,공과대학,전기공학과,4,전공심화,전공심화,0006687003,캡스톤설계(1),CAPSTON DESIGN(1),서재완,제8호관 공과대학·도시과학대학-212 전기기계실험실[08-212], [08-212:목(6)(7)(8)(9)], [08-212:목(14:00~14:50)(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,실험실습,절대평가,일반(1~15주),비대상
628,공과대학,전기공학과,4,전공심화,전공심화,0006688001,광전기에너지공학,OPTO-ELECTRIC ENERGY APPLICATION ENGINEERING,윤주형,"제8호관 공과대학·도시과학대학-272 강의실[08-272], 제8호관 공과대학·도시과학대학-482 강의실(소)-4  [08-482]", [08-272:수(7-8A)] [08-482:월(5B-6)], [08-272:수(15:00~16:15)] [08-482:월(13:30~14:45)],75분,3,일반과목,강의(이론),절대평가,일반(1~15주),원어강의(EN)
629,공과대학,전기공학과,4,전공심화,전공심화,0006701001,송배전설계,TRANSMISSION AND DISTRIBUTION SYSTEM DESIGN,서재완,제8호관 공과대학·도시과학대학-213 디지털실험실[08-213]," [08-213:수(5)(6),금(5)(6)]"," [08-213:수(13:00~13:50)(14:00~14:50),금(13:00~13:50)(14:00~14:50)]",50분(표준),3,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
630,공과대학,전기공학과,4,전공심화,전공심화,0007845001,무선에너지변환,Wireless power conversion,안덕주,제8호관 공과대학·도시과학대학-272 강의실[08-272]," [08-272:월(1-2A),화(8B-9)]"," [08-272:월(09:00~10:15),화(16:30~17:45)]",75분,3,일반과목,e-Learning,상대평가,일반(1~15주),비대상
631,공과대학,전기공학과,4,전공심화,전공심화,0010457001,전기기기제어론,Electric Machine Control,김준석,제8호관 공과대학·도시과학대학-416 강의실(소)-5[08-416]," [08-416:월(4-5A),화(5B-6)]"," [08-416:월(12:00~13:15),화(13:30~14:45)]",75분,3,일반과목,온라인혼합형강좌,상대평가,일반(1~15주),비대상
632,공과대학,전기공학과,4,전공심화,전공심화,0012357001,현대제어,Modern Control,이동길,"제8호관 공과대학·도시과학대학-416 강의실(소)-5[08-416], 제8호관 공과대학·도시과학대학-482 강의실(소)-4  [08-482]", [08-416:화(2B-3)] [08-482:월(2B-3)], [08-416:화(10:30~11:45)] [08-482:월(10:30~11:45)],75분,3,일반과목,온라인혼합형강좌,상대평가,일반(1~15주),비대상
633,공과대학,전자공학과,4,전공핵심,전공핵심,0009982001,캡스턴디자인1,Capstone Design1,서정현,제8호관 공과대학·도시과학대학-419 캡스턴디자인실습실1[08-419]," [08-419:화(2B-3),수(8B-9)]"," [08-419:화(10:30~11:45),수(16:30~17:45)]",75분,3,일반과목,강의(이론),절대평가,일반(1~15주),비대상
634,공과대학,전자공학과,4,전공핵심,전공핵심,0009982002,캡스턴디자인1,Capstone Design1,양운근,제8호관 공과대학·도시과학대학-325 디지털회로실험실[08-325], [08-325:수(8B-9)(야1-2A)], [08-325:수(16:30~17:45)(18:00~19:15)],75분,3,일반과목,강의(이론),절대평가,일반(1~15주),비대상
635,공과대학,전자공학과,4,전공핵심,전공핵심,0009982003,캡스턴디자인1,Capstone Design1,홍연찬,제8호관 공과대학·도시과학대학-419 캡스턴디자인실습실1[08-419], [08-419:화(7-8A)(8B-9)], [08-419:화(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),절대평가,일반(1~15주),비대상
636,공과대학,전자공학과,4,전공핵심,전공핵심,0009982004,캡스턴디자인1,Capstone Design1,홍연찬,제8호관 공과대학·도시과학대학-419 캡스턴디자인실습실1[08-419], [08-419:화(야1-2A)(야2B-3)], [08-419:화(18:00~19:15)(19:25~20:40)],75분,3,일반과목,강의(이론),절대평가,일반(1~15주),비대상
637,공과대학,전자공학과,4,전공심화,전공심화,EPC6027001,제어공학,CONTROL ENGINEERING,유세선,제8호관 공과대학·도시과학대학-518 강의실(대)-계단식[08-518]," [08-518:수(2B-3),목(5B-6)]"," [08-518:수(10:30~11:45),목(13:30~14:45)]",75분,3,일반과목,강의(이론),절대평가,일반(1~15주),원어강의(EN)
638,공과대학,전자공학과,4,전공심화,전공심화,EPC6027002,제어공학,CONTROL ENGINEERING,유세선,제8호관 공과대학·도시과학대학-518 강의실(대)-계단식[08-518]," [08-518:수(1-2A),목(2B-3)]"," [08-518:수(09:00~10:15),목(10:30~11:45)]",75분,3,일반과목,강의(이론),절대평가,일반(1~15주),원어강의(EN)
639,공과대학,전자공학과,4,전공심화,전공심화,EPC6058001,아날로그집적회로,ANALOG INTEGRATED CIRCUITS,송준영,제8호관 공과대학·도시과학대학-419 캡스턴디자인실습실1[08-419]," [08-419:수(7-8A),목(7-8A)]"," [08-419:수(15:00~16:15),목(15:00~16:15)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
640,공과대학,전자공학과,4,전공심화,전공심화,EPC6069001,고체전자소자,SOLID STATE ELECTRONIC DEVICE,김태훈,제8호관 공과대학·도시과학대학-518 강의실(대)-계단식[08-518]," [08-518:화(5B-6),목(8B-9)]"," [08-518:화(13:30~14:45),목(16:30~17:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
641,공과대학,전자공학부,전학년,전공심화,전공심화,0009062027,RISE,RISE,변상원,,,,50분(표준),3,일반과목,RISE(시간표 없음),이수인정,일반(1~15주),비대상
642,공과대학,전자공학부,전학년,전공심화,전공심화,0009062028,RISE,RISE,이영훈,,,,50분(표준),3,일반과목,RISE(시간표 없음),이수인정,일반(1~15주),비대상
643,공과대학,전자공학부,전학년,전공심화,전공심화,0009062029,RISE,RISE,정은교,,,,50분(표준),3,일반과목,RISE(시간표 없음),이수인정,일반(1~15주),비대상
644,공과대학,전자공학부,1,기초교양,기초과학ㆍ공학,XAA1077007,물리(1),PHYSICS(1),김말진,제8호관 공과대학·도시과학대학-518 강의실(대)-계단식[08-518], [08-518:화(7-8A)(8B-9)], [08-518:화(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
645,공과대학,전자공학부,1,기초교양,기초과학ㆍ공학,XAA1077008,물리(1),PHYSICS(1),이영희,제8호관 공과대학·도시과학대학-515 세미나실(대)[08-515], [08-515:화(7-8A)(8B-9)], [08-515:화(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
646,공과대학,전자공학부,1,기초교양,기초과학ㆍ공학,XAA1077009,물리(1),PHYSICS(1),강유리,제28호관 도시과학대학-102 강의실[28-102], [28-102:화(7-8A)(8B-9)], [28-102:화(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
647,공과대학,전자공학부,1,기초교양,기초과학ㆍ공학,XAA1114001,선형대수학,LINEAR ALGEBRA,변윤식,제8호관 공과대학·도시과학대학-433 강의실(중)-5  [08-433]," [08-433:월(2B-3),목(7-8A)]"," [08-433:월(10:30~11:45),목(15:00~16:15)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
648,공과대학,전자공학부,1,기초교양,기초과학ㆍ공학,XAA1114002,선형대수학,LINEAR ALGEBRA,변윤식,제8호관 공과대학·도시과학대학-433 강의실(중)-5  [08-433]," [08-433:월(5B-6),목(8B-9)]"," [08-433:월(13:30~14:45),목(16:30~17:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
649,공과대학,전자공학부,1,기초교양,기초과학ㆍ공학,XAA1114003,선형대수학,LINEAR ALGEBRA,변윤식,제8호관 공과대학·도시과학대학-433 강의실(중)-5  [08-433]," [08-433:월(7-8A),목(2B-3)]"," [08-433:월(15:00~16:15),목(10:30~11:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
650,공과대학,전자공학부,1,기초교양,학문의기초,XAA1358025,대학수학(1),CALCULUS(1),이혜경,제8호관 공과대학·도시과학대학-518 강의실(대)-계단식[08-518], [08-518:화(2)(3)(4)], [08-518:화(10:00~10:50)(11:00~11:50)(12:00~12:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
651,공과대학,전자공학부,1,기초교양,학문의기초,XAA1358026,대학수학(1),CALCULUS(1),김흥숙,제8호관 공과대학·도시과학대학-433 강의실(중)-5  [08-433], [08-433:화(2)(3)(4)], [08-433:화(10:00~10:50)(11:00~11:50)(12:00~12:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
652,공과대학,전자공학부,1,기초교양,학문의기초,XAA1358027,대학수학(1),CALCULUS(1),정유정,제8호관 공과대학·도시과학대학-515 세미나실(대)[08-515], [08-515:화(2)(3)(4)], [08-515:화(10:00~10:50)(11:00~11:50)(12:00~12:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
653,공과대학,전자공학부,1,전공기초,전공기초,0006695001,소프트웨어입문,Introduction to Software,김교선,제8호관 공과대학·도시과학대학-326 컴퓨터실험실[08-326]," [08-326:월(5B-6),수(7-8A)]"," [08-326:월(13:30~14:45),수(15:00~16:15)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
654,공과대학,전자공학부,1,전공기초,전공기초,0006695002,소프트웨어입문,Introduction to Software,김교선,제8호관 공과대학·도시과학대학-326 컴퓨터실험실[08-326]," [08-326:월(7-8A),화(5B-6)]"," [08-326:월(15:00~16:15),화(13:30~14:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
655,공과대학,전자공학부,1,전공기초,전공기초,0006695003,소프트웨어입문,Introduction to Software,김교선,제8호관 공과대학·도시과학대학-326 컴퓨터실험실[08-326]," [08-326:월(야1-2A),수(야1-2A)]"," [08-326:월(18:00~19:15),수(18:00~19:15)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
656,공과대학,전자공학부,2,기초교양,기초과학ㆍ공학,EPC6059001,복소함수및벡터,COMPLEX FUNCTION AND VECTOR,구경헌,제8호관 공과대학·도시과학대학-433 강의실(중)-5  [08-433]," [08-433:수(1-2A),금(2B-3)]"," [08-433:수(09:00~10:15),금(10:30~11:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
657,공과대학,전자공학부,2,기초교양,기초과학ㆍ공학,EPC6059002,복소함수및벡터,COMPLEX FUNCTION AND VECTOR,구경헌,제8호관 공과대학·도시과학대학-433 강의실(중)-5  [08-433]," [08-433:수(2B-3),금(5B-6)]"," [08-433:수(10:30~11:45),금(13:30~14:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
658,공과대학,전자공학부,2,기초교양,기초과학ㆍ공학,EPC6059003,복소함수및벡터,COMPLEX FUNCTION AND VECTOR,구경헌,제8호관 공과대학·도시과학대학-433 강의실(중)-5  [08-433]," [08-433:수(5B-6),금(1-2A)]"," [08-433:수(13:30~14:45),금(09:00~10:15)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
659,공과대학,전자공학부,2,전공기초,전공기초,0007805001,스마트시스템입문,Introduction to smart systems,조정완,제8호관 공과대학·도시과학대학-326 컴퓨터실험실[08-326]," [08-326:화(1-2A),목(5B-6)]"," [08-326:화(09:00~10:15),목(13:30~14:45)]",75분,3,일반과목,강의(이론),절대평가,일반(1~15주),원어강의(EN)
660,공과대학,전자공학부,2,전공기초,전공기초,0007805002,스마트시스템입문,Introduction to smart systems,조정완,제8호관 공과대학·도시과학대학-326 컴퓨터실험실[08-326]," [08-326:화(2B-3),목(7-8A)]"," [08-326:화(10:30~11:45),목(15:00~16:15)]",75분,3,일반과목,강의(이론),절대평가,일반(1~15주),원어강의(EN)
661,공과대학,전자공학부,2,전공기초,전공기초,0007805003,스마트시스템입문,Introduction to smart systems,김영현,제8호관 공과대학·도시과학대학-326 컴퓨터실험실[08-326]," [08-326:목(4-5A),금(5B-6)]"," [08-326:목(12:00~13:15),금(13:30~14:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
662,공과대학,전자공학부,2,전공기초,전공기초,0007805004,스마트시스템입문,Introduction to smart systems,김영현,제8호관 공과대학·도시과학대학-326 컴퓨터실험실[08-326]," [08-326:목(2B-3),금(7-8A)]"," [08-326:목(10:30~11:45),금(15:00~16:15)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
663,공과대학,전자공학부,2,전공핵심,전공핵심,EPC6007001,전자기학,ELECTROMAGNETICS,서정현,제8호관 공과대학·도시과학대학-321 강의실(소)-2[08-321]," [08-321:월(7)(8),수(7)]"," [08-321:월(15:00~15:50)(16:00~16:50),수(15:00~15:50)]",50분(표준),3,일반과목,온라인혼합형강좌,상대평가,일반(1~15주),비대상
664,공과대학,전자공학부,2,전공핵심,전공핵심,EPC6007002,전자기학,ELECTROMAGNETICS,서정현,제8호관 공과대학·도시과학대학-321 강의실(소)-2[08-321]," [08-321:월(2)(3),수(4)]"," [08-321:월(10:00~10:50)(11:00~11:50),수(12:00~12:50)]",50분(표준),3,일반과목,온라인혼합형강좌,상대평가,일반(1~15주),비대상
665,공과대학,전자공학부,2,전공핵심,전공핵심,EPC6007003,전자기학,ELECTROMAGNETICS,전석희,"제8호관 공과대학·도시과학대학-321 강의실(소)-2[08-321], 제8호관 공과대학·도시과학대학-419 캡스턴디자인실습실1[08-419]", [08-321:화(7-8A)] [08-419:목(2B-3)], [08-321:화(15:00~16:15)] [08-419:목(10:30~11:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
666,공과대학,전자공학부,2,전공핵심,전공핵심,EPC6007004,전자기학,ELECTROMAGNETICS,전석희,"제8호관 공과대학·도시과학대학-321 강의실(소)-2[08-321], 제8호관 공과대학·도시과학대학-419 캡스턴디자인실습실1[08-419]", [08-321:화(8B-9)] [08-419:목(4-5A)], [08-321:화(16:30~17:45)] [08-419:목(12:00~13:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
